gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,100,Blue,team,,,Klanik Esport,oe:team:0ade5e44c23039bca133eee58ec1b83,,Sylas,Caitlyn,Wukong,Akali,Yone,2612,1,13,7,38,13,7,1,1,0,0,0,,,,0.2986,0.4594,0,4,3,4,3,0,0,0,4,0,0,,0,0,1,2,0,1,1,0,1,11,2,1,1,4,2,2,0,95203,2186.8989,,2690.9265,3235.1302,130,2.9862,40,0.9188,55,312,7.1669,72807,44787,1028.7979,,65505,0.0706496,,1039,247,,,29.5406,14612,18745,317,14537,18901,328,75,-156,-11,0,0,0,0,0,0,22384,29220,498,22914,30891,535,-530,-1671,-37,0,0,1,1,1,0
ESPORTSTMNT06_2753012,complete,,LFL2,2023,Spring,0,2023-01-10 17:07:16,1,13.01,200,Red,team,,,MS Company,oe:team:14ad76b8d9e647d4b29c3d26ecd29c9,,Galio,Lucian,Fiora,Viktor,Azir,2612,0,7,13,18,7,13,1,0,0,0,1,,,,0.1608,0.4594,1,3,4,3,4,1,0,0,1,0,1,,0,0,0,0,2,0,0,1,0,2,11,0,0,2,4,0,2,85333,1960.1761,,2864.1041,3425.0536,80,1.8377,49,1.1256,20,304,6.9832,62745,34725,797.6646,,61035,-0.0706496,,1008,218,,,28.1623,14537,18901,328,14612,18745,317,-75,156,11,0,0,0,0,0,0,22914,30891,535,22384,29220,498,530,1671,37,1,1,0,0,0,1
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,1,Blue,top,S0bek,oe:player:df8fa3965e69354bc69e3d54d4c53b7,beGenius ESC,oe:team:607baf04091e515e195644cb08ec21c,K'Sante,Fiora,Kindred,Sejuani,Nautilus,Leona,2436,0,3,1,5,20,16,1,0,0,0,0,0,0,0,0.4926,0.8867,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,2,20771,511.6010,0.194985,493.5222,1108.8424,9,0.2217,7,0.1724,4,32,0.7882,16027,10782,265.5665,0.198191,15500,,313,311,2,,,7.7094,3539,5127,92,3474,4865,93,65,262,-1,0,0,0,0,0,0,5307,8148,143,5400,7677,145,-93,471,-2,0,0,0,0,0,0
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,2,Blue,jng,Stormax,oe:player:9bfbc1a85ea2cd4841d627f76a12704,beGenius ESC,oe:team:607baf04091e515e195644cb08ec21c,Xin Zhao,Fiora,Kindred,Sejuani,Nautilus,Leona,2436,0,2,3,9,20,16,0,0,0,0,0,0,0,0,0.4926,0.8867,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,0,0,14352,353.4975,0.134728,763.5961,1128.3251,18,0.4433,20,0.4926,18,72,1.7734,14237,8992,221.4778,0.165288,13050,,214,37,177,,,5.2709,3472,3240,62,3158,3255,62,314,-15,0,1,0,0,0,2,1,5328,5275,91,4408,4984,87,920,291,4,1,2,0,0,2,2
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,3,Blue,mid,FrostSize,oe:player:49343d8bffb6a94331b5709eab8767b,beGenius ESC,oe:team:607baf04091e515e195644cb08ec21c,Ryze,Fiora,Kindred,Sejuani,Nautilus,Leona,2436,0,9,4,6,20,16,1,0,0,0,0,0,0,1,0.4926,0.8867,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,34396,847.1921,0.322888,676.0837,694.7044,18,0.4433,8,0.1970,6,59,1.4532,20369,15124,372.5123,0.278005,17825,,415,383,32,,,10.2217,3367,5164,91,3621,4748,93,-254,416,-2,0,1,1,1,0,0,5354,8054,143,5605,7632,149,-251,422,-6,1,1,1,2,0,0
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,4,Blue,bot,PiOk,oe:player:956b4d2f499b1d362f693f82b8e652b,beGenius ESC,oe:team:607baf04091e515e195644cb08ec21c,Lucian,Fiora,Kindred,Sejuani,Nautilus,Leona,2436,0,5,4,7,20,16,0,0,0,0,0,0,0,0,0.4926,0.8867,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,1,28995,714.1626,0.272187,425.6158,321.2069,15,0.3695,11,0.2709,4,40,0.9852,19563,14318,352.6601,0.263189,18900,,383,369,14,,,9.4335,3573,3026,79,3877,3164,81,-304,-138,-2,1,0,0,1,0,0,5706,4847,118,5531,5692,129,175,-845,-11,2,0,1,1,1,0
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,5,Blue,sup,Zaremba,oe:player:180d2472124a39343d6471d2d72c1c2,beGenius ESC,oe:team:607baf04091e515e195644cb08ec21c,Nami,Fiora,Kindred,Sejuani,Nautilus,Leona,2436,0,1,4,17,20,16,0,0,0,0,0,0,0,0,0.4926,0.8867,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,8012,197.3399,0.0752117,316.9212,229.2857,59,1.4532,9,0.2217,17,95,2.3399,10431,5186,127.7340,0.095327,9525,,11,11,0,,,0.2709,2018,2563,0,2200,2806,17,-182,-243,-17,0,1,1,0,1,1,3076,3760,3,3154,3569,22,-78,191,-19,0,3,1,0,1,2
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,6,Red,top,Twelve,oe:player:2fdfc5ad1faf4c7be33607689fcefcb,ViV Esport,oe:team:2d9e95ecefb34c32ff1a997ebe372f9,Gwen,Heimerdinger,Wukong,Akali,Syndra,Sylas,2436,1,6,4,1,16,20,1,0,0,0,0,0,0,0,0.3941,0.8867,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,2,0,28702,706.9458,0.357132,1011.2069,989.8522,9,0.2217,6,0.1478,4,34,0.8374,19532,14287,351.8966,0.278913,18100,,393,357,36,,,9.6798,3474,4865,93,3539,5127,92,-65,-262,1,0,0,0,0,0,0,5400,7677,145,5307,8148,143,93,-471,2,0,0,0,0,0,0
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,7,Red,jng,Joinze,oe:player:dbdc61a1c41acedcbc7d399727155ac,ViV Esport,oe:team:2d9e95ecefb34c32ff1a997ebe372f9,Vi,Heimerdinger,Wukong,Akali,Syndra,Sylas,2436,1,0,5,10,16,20,0,0,0,0,1,0,1,0,0.3941,0.8867,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,0,0,5412,133.3005,0.0673402,665.9606,1230.4926,9,0.2217,16,0.3941,10,50,1.2315,11893,6648,163.7438,0.129783,11200,,186,27,159,,,4.5813,3158,3255,62,3472,3240,62,-314,15,0,0,2,1,1,0,0,4408,4984,87,5328,5275,91,-920,-291,-4,0,2,2,1,2,0
ESPORTSTMNT06_2754023,complete,,LFL2,2023,Spring,0,2023-01-10 18:15:01,1,13.01,8,Red,mid,Serendip,oe:player:4ff58ae301895bd4bbf88fa8fad2b75,ViV Esport,oe:team:2d9e95ecefb34c32ff1a997ebe372f9,Irelia,Heimerdinger,Wukong,Akali,Syndra,Sylas,2436,1,5,2,5,16,20,0,0,0,0,1,1,0,0,0.3941,0.8867,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,17256,425.0246,0.214712,781.5517,1066.0345,24,0.5911,10,0.2463,11,63,1.5517,16630,11385,280.4187,0.222259,16375,,353,337,16,,,8.6946,3621,4748,93,3367,5164,91,254,-416,2,1,0,0,0,1,1,5605,7632,149,5354,8054,143,251,-422,6,2,0,0,1,1,1
